long.,lat.,age,rooms,b_rooms,population,households,median_income,house_value
-122.29,37.81,46,3.375451264,1.072202166,2.101083032,277,0.7286,95200
-122.29,37.81,49,5.552631579,1.342105263,3.684210526,152,1.75,75000
-122.29,37.81,46,1.714285714,0.571428571,2.571428571,7,0.4999,67500
-122.29,37.81,20,6.278195489,1.210526316,2.180451128,133,2.483,137500
-122.28,37.81,17,2.817767654,1.0523918,1.735763098,439,0.9241,177500
-122.28,37.81,36,5.724950884,1.104125737,2.428290766,509,2.4464,102100
-122.28,37.81,19,5.830917874,1.173913043,3.483091787,207,1.1111,108300
-122.29,37.81,23,5.369230769,1.150769231,3.243076923,325,0.8026,112500
-122.28,37.8,38,4.412903226,1.135483871,2.219354839,155,2.0114,131300
-122.28,37.81,17,3.197231834,1,2.107266436,289,1.5,162500
-122.27,37.81,52,3.75,1,3.267857143,56,1.1667,112500
-122.28,37.81,52,3.908045977,1.114942529,2.298850575,87,1.5208,112500
-122.28,37.81,52,2.490322581,1.058064516,2.232258065,155,0.8075,137500
-122.28,37.81,35,5.609467456,1.088757396,2.763313609,169,1.8088,118800
-122.28,37.81,52,6.72173913,1.243478261,3.27826087,115,2.4083,98200
-122.27,37.81,40,2.315789474,1.186842105,1.531578947,380,0.977,118800
-122.27,37.81,10,2.651515152,1.054545455,1.654545455,330,0.76,162500
-122.27,37.8,10,2.692307692,1.076923077,3.205128205,39,0.9722,137500
-122.27,37.8,52,2.929411765,0.917647059,4.658823529,85,1.2434,500001
-122.27,37.8,16,2.745856354,1.082872928,2.209944751,362,2.0938,162500
-122.28,37.8,52,2.443181818,0.988636364,10.27272727,88,0.8668,137500
-122.28,37.8,52,2.823529412,0.911764706,5.617647059,34,0.75,162500
-122.27,37.79,27,3.493377483,1.149006623,2.377483444,302,2.6354,187500
-122.27,37.8,39,3.672376874,1.334047109,2.841541756,467,1.8477,179200
-122.26,37.8,36,2.294016358,1.066293586,1.493327594,2323,2.0096,130000
-122.26,37.82,31,3.894915254,1.127966102,1.73559322,1180,2.8345,183800
-122.26,37.81,29,3.681318681,1.175824176,2.21978022,91,2.0062,125000
-122.26,37.82,22,2.9456,1.016,1.6192,1250,1.2185,170000
-122.26,37.82,37,3.707142857,1.107142857,1.875510204,980,2.6104,193100
-122.25,37.81,29,3.7248,1.1312,1.8432,1250,2.4912,257800
-122.25,37.81,28,3.878423514,1.070808283,1.712090848,1497,3.2177,273400
-122.25,37.81,39,3.745614035,1.061403509,1.706140351,228,3.125,237500
-122.25,37.81,52,3.515497553,1.143556281,1.460032626,613,2.5795,350000
-122.26,37.81,34,3.281721632,1.069871437,1.503074343,1789,2.8406,335700
-122.24,37.82,52,6.18442623,0.922131148,2.762295082,244,4.9306,313400
-122.24,37.81,52,4.442982456,1.057017544,1.554824561,456,3.2727,268500
-122.25,37.81,52,4.165876777,1.090047393,1.625592417,422,3.1691,259400
-122.24,37.82,52,4.848189415,1.045961003,2.011142061,718,3.9,275700
-122.25,37.82,28,4.16084788,1.066084788,1.895261845,802,3.9063,225000
-122.25,37.82,52,5.628458498,1.14229249,2.173913043,253,5.0917,262500
-122.25,37.82,32,3.727005871,1.074363992,1.767123288,1022,2.6429,218500
-122.25,37.82,26,3.253081348,0.982744454,1.437140509,1217,3.0233,255000
-122.25,37.83,52,4.578034682,1.077071291,1.809248555,519,3.1484,224100
-122.25,37.83,35,3.822274882,1.014218009,1.599526066,422,3.4722,243100
-122.25,37.83,52,4.395189003,0.986254296,1.835051546,291,3.1429,231600
-122.25,37.83,28,3.023479831,1.053582179,1.540036123,1661,2.4234,218500
-122.25,37.83,52,4.040501446,1.06557377,1.722275796,1037,3.0897,234100
-122.23,37.84,50,6.742627346,1.069705094,2.600536193,373,5.8596,327600
-122.23,37.84,47,6.546391753,0.936082474,2.263917526,485,5.2868,347600
-122.24,37.83,41,6.85106383,1.079787234,2.111702128,376,5.956,366100
-122.24,37.85,37,7.106382979,1.14893617,2.085106383,47,4.9643,335000
-122.23,37.85,52,6.947890819,1.019851117,2.632754342,403,6.3434,373600
-122.24,37.84,52,6.358558559,1.034234234,2.120720721,555,5.1773,389500
-122.24,37.85,52,7.117166213,0.994550409,2.455040872,367,7.2354,391100
-122.22,37.85,28,5.530334728,1.09623431,2.124476987,956,5.457,337300
-122.22,37.84,50,6.127348643,0.987473904,2.152400835,479,7.5,295200
-122.21,37.84,44,5.735343384,1,2.274706868,597,6.0194,292300
-122.21,37.83,40,7.631498471,1.03058104,2.470948012,654,7.5544,411500
-122.2,37.84,30,6.44606414,1.008746356,2.460641399,343,6.0666,311500
-122.21,37.84,34,6.125,0.987903226,2.298387097,496,7.0548,325900
-122.19,37.84,18,8.335051546,1.082474227,2.74742268,194,11.6017,392600
-122.2,37.84,35,6.467268623,1.038374718,2.41986456,443,7.4882,319300
-122.21,37.83,34,6.61227154,1.028720627,2.124020888,766,6.8976,333300
-122.19,37.83,28,6.978947368,0.968421053,2.436842105,190,8.2049,335200
-122.2,37.83,26,7.530805687,1.056872038,2.568720379,211,8.401,351200
-122.19,37.83,29,6.657992565,1.007434944,2.457249071,269,6.8538,368900
-122.19,37.82,32,6.977186312,1.003802281,2.414448669,263,8.317,365900
-122.2,37.82,37,6.982954545,1.028409091,2.386363636,176,7.0175,366700
-122.2,37.82,39,7.54,1.068,2.53,500,6.3302,362800
-122.18,37.81,30,5.615384615,0.730769231,2.423076923,52,6.3624,483300
-122.21,37.82,52,6.785714286,0.951428571,2.322857143,350,7.0549,331400
-122.2,37.81,45,6.957746479,1.023474178,2.504694836,426,6.7851,323500
-122.21,37.8,50,5.132246377,1.096014493,2.282608696,552,2.8929,216700
-122.21,37.8,38,4.628336756,1.098562628,1.952772074,487,3.0812,233100
-122.21,37.81,52,6.200892857,0.946428571,2.276785714,224,5.2402,296400
-122.22,37.81,52,6.399350649,1.087662338,2.483766234,308,6.5217,273700
-122.22,37.8,52,4.745652174,1.010869565,2.454347826,460,3.2632,227700
-122.22,37.8,52,5.183673469,1.052154195,2.433106576,441,3.0298,199600
-122.22,37.8,52,5.283495146,1.050485437,2.300970874,515,4.5428,239800
-122.22,37.81,52,5.952941176,0.997058824,2.223529412,340,4.072,270100
-122.22,37.81,52,5.650671785,1.028790787,1.984644914,521,5.3509,302100
-122.23,37.8,52,4.4291939,1.058823529,1.71459695,459,3.1603,269500
-122.23,37.81,52,6.727699531,1.075117371,2.873239437,213,4.7708,314700
-122.22,37.81,52,7.702631579,1.057894737,2.686842105,380,8.1564,390100
-122.23,37.81,52,8.972868217,1.131782946,3.337209302,258,8.8793,410300
-122.24,37.81,52,7.599388379,0.957186544,2.914373089,327,6.8591,352400
-122.24,37.81,52,5.8203125,0.9296875,2.4765625,256,6.0302,287300
-122.23,37.81,52,7.994318182,1.036931818,2.494318182,352,7.508,348700
-122.24,37.81,52,4.333333333,1.138716356,1.900621118,483,2.7477,243800
-122.24,37.8,52,5.074285714,0.96,2.057142857,175,2.1944,211500
-122.25,37.8,52,4.276639344,1.045081967,2.452868852,488,3.0149,218400
-122.24,37.81,52,4.851351351,0.969111969,2.023166023,518,3.675,269900
-122.25,37.81,46,4.326639893,1.117804552,1.838018742,747,3.225,218800
-122.25,37.8,42,4.0591133,1.049261084,1.689655172,1015,2.9345,225000
-122.25,37.8,43,3.274238227,1.096952909,1.882271468,722,2.1429,250000
-122.25,37.8,41,3.561743341,1.13559322,2.571428571,413,1.6121,171400
-122.25,37.8,29,3.192755498,1.117723157,1.727037516,773,1.3929,193800
-122.24,37.79,27,3.804195804,1.146853147,2.72960373,429,2.3173,125000
-122.25,37.79,45,3.882608696,1.143478261,3.206521739,460,1.7772,97500
-122.25,37.79,50,3.209183673,0.959183673,3.785714286,196,2.6458,125000
-122.25,37.79,52,3.688705234,1.077134986,2.991735537,363,2.181,138800
-122.25,37.8,36,3.090239411,1.116022099,3.02946593,543,2.2303,116700
-122.25,37.8,43,3.639751553,1.004658385,2.655279503,644,1.6504,151800
-122.24,37.8,52,4.368421053,1,3.206140351,228,2.2697,127000
-122.24,37.8,52,4.585014409,1.074927954,3.221902017,347,2.1563,128600
-122.24,37.8,52,4.734328358,1.188059701,3.002985075,335,2.1348,140600
-122.24,37.8,47,3.693140794,1.061371841,2.189530686,554,2.6292,182700
-122.23,37.8,52,4.638132296,1.124513619,3.003891051,257,2.3833,146900
-122.24,37.8,52,4.496259352,1.047381546,3.294264339,401,2.957,122800
-122.24,37.8,49,4.192023634,1.106351551,2.196454948,677,2.5238,169300
-122.23,37.8,52,4.209677419,0.989247312,2.623655914,186,1.9375,126600
-122.23,37.8,51,4.056122449,1.056122449,2.420918367,392,1.9028,127900
-122.23,37.8,50,4.207228916,1.156626506,2.768674699,415,2.25,123500
-122.23,37.8,52,4.471428571,1.067857143,3.014285714,280,2.3929,111900
-122.23,37.79,43,4.844029245,1.091795288,3.54752234,1231,2.1917,112800
-122.23,37.79,52,4.327669903,0.958737864,4.026699029,412,2.9357,107900
-122.23,37.79,30,3.798479087,1.003802281,3.844106464,263,1.8854,137500
-122.24,37.79,39,3.776349614,1.107969152,3.763496144,389,2.1638,105500
-122.24,37.79,47,4.528052805,1.303630363,4.082508251,303,2.125,95500
-122.24,37.79,52,4.011904762,1.071428571,3.851190476,168,3.375,116100
-122.24,37.79,43,4.554621849,1.053221289,3.596638655,357,2.2542,112200
-122.25,37.79,51,3.181818182,0.781818182,4.145454545,55,2.1,75000
-122.25,37.79,39,3.74796748,1.048780488,3.097560976,123,1.6,112500
-122.25,37.79,52,3.973568282,1.044052863,3.726872247,227,3.625,125000
-122.26,37.8,20,3.51035503,1.152366864,2.454142012,676,1.6929,115000
-122.22,37.77,52,2.833333333,0.927536232,3.768115942,138,1.6471,95000
-122.22,37.77,52,4.38996139,1.162162162,3.343629344,259,2.59,96400
-122.23,37.77,52,4.202185792,1.12568306,3.344262295,183,2.57,72000
-122.23,37.78,52,3.746031746,1.158730159,3.293650794,126,2.6429,71300
-122.23,37.78,52,4.046948357,1.009389671,4.666666667,213,3.0257,80800
-122.22,37.78,50,4.025157233,1.111111111,3.19706499,477,1.4886,128800
-122.23,37.78,43,3.242009132,1.077625571,3.438356164,438,1.9338,112500
-122.23,37.78,52,3.866666667,1.011764706,3.952941176,255,1.4844,119400
-122.23,37.78,44,3.115845539,1.098535286,3.745672437,751,1.6009,118100
-122.23,37.79,48,4.944606414,1.15451895,4.317784257,343,2.0375,122500
-122.23,37.79,49,5.365296804,0.99086758,3.922374429,219,2.293,106300
-122.22,37.79,37,4.479923518,1.09751434,3.07456979,523,2.1494,132500
-122.23,37.79,30,4.357142857,1.035714286,3.035714286,140,1.6198,122700
-122.23,37.79,40,5.054347826,1.081521739,3.065217391,184,1.3281,113300
-122.22,37.79,44,5.466911765,1.154411765,3.533088235,272,3.5156,109500
-122.22,37.79,52,4.998540146,1.00729927,3.318248175,685,3.9048,164700
-122.21,37.79,52,3.907692308,0.974358974,3.076923077,195,3.0893,125000
-122.22,37.79,46,4.489563567,1.091081594,3.125237192,527,2.6042,124700
-122.22,37.79,49,4.306603774,1.061320755,2.83254717,424,2.5,136700
-122.22,37.79,38,4.626707132,1.078907436,3.28831563,659,2.7969,141700
-122.2,37.79,29,4.823529412,1.105882353,2.761764706,340,2.8321,150000
-122.21,37.79,47,5.284246575,1.051369863,2.941780822,292,2.9583,138800
-122.21,37.79,34,4.581395349,1.079457364,2.939922481,516,2.8365,139200
-122.21,37.79,35,4.520725389,1.059585492,2.961139896,386,2.875,143800
-122.21,37.8,39,4.316810345,1.077586207,2.390086207,464,3.0682,156500
-122.21,37.8,39,4.524663677,1.002242152,2.737668161,446,3.0757,151000
-122.2,37.8,43,6.692307692,1.096703297,2.450549451,455,4.9559,273000
-122.2,37.8,52,5.77238806,1.093283582,2.634328358,268,4.7721,217100
-122.21,37.8,52,4.984419263,1.007082153,2.66713881,706,3.4861,187100
-122.2,37.8,41,6.088235294,1.041176471,2.364705882,340,5.1184,239600
-122.21,37.8,48,5.242063492,1.043650794,2.007936508,252,4.0977,229700
-122.19,37.8,48,7.117647059,1.088235294,2.56302521,238,4.744,257300
-122.19,37.8,46,5.837349398,1.027108434,2.313253012,332,4.2727,246900
-122.19,37.79,50,5.260869565,1.059782609,2.510869565,184,2.9844,179900
-122.2,37.79,40,4.510638298,1.089361702,2.838297872,235,4.1739,169600
-122.2,37.8,46,5.115288221,1.015037594,2.654135338,399,3.8487,203300
-122.19,37.8,52,6.545126354,0.97833935,2.299638989,277,4.0114,263400
-122.19,37.79,45,5.986784141,0.99339207,2.436123348,454,4.6563,231800
-122.19,37.79,28,4.69955157,1.137518685,2.596412556,669,2.9297,140500
-122.2,37.79,35,4.620512821,1.176923077,2.587179487,390,2.3036,126000
-122.2,37.79,49,4.2,0.928571429,3.50952381,210,2.6667,122000
-122.2,37.79,44,3.301425662,0.920570265,2.757637475,491,2.619,134700
-122.21,37.79,45,4.462025316,1.124472574,3.227848101,474,2.4167,139400
-122.2,37.79,45,4.210416667,1.1,2.9375,480,2.7788,115400
-122.21,37.78,46,3.934973638,0.892794376,2.44288225,569,2.7352,137300
-122.21,37.78,52,5.49070632,1.115241636,3.959107807,269,1.8472,137000
-122.21,37.78,52,4.310204082,0.914285714,3.232653061,245,2.6583,142600
-122.21,37.78,49,3.665306122,0.995918367,3.179591837,245,3.0536,137500
-122.22,37.78,44,4.86557377,1.163934426,3.719672131,610,2.3906,111700
-122.21,37.78,43,4.181818182,1.13022113,3.014742015,407,1.7188,126800
-122.21,37.78,47,3.65560166,1.029045643,3.124481328,241,2.625,111300
-122.22,37.77,40,3.659259259,0.844444444,4.051851852,135,2.8015,114800
-122.22,37.78,50,4.036363636,1.075,4.106818182,440,1.7276,102300
-122.22,37.78,44,3.38989899,1.038383838,3.434343434,495,2.0801,131900
-122.22,37.78,51,4.165394402,1.178117048,3.926208651,393,2.489,119100
-122.21,37.76,52,4.733333333,1.046666667,3.616666667,300,1.7546,80600
-122.21,37.77,52,4.313868613,1.262773723,2.576642336,137,4.0904,80600
-122.21,37.77,52,5,1.026845638,3.174496644,149,2.6765,88800
-122.2,37.77,49,4.703933747,1.031055901,3.35610766,483,2.4338,102400
-122.21,37.77,46,3.485875706,1.059322034,3.34180791,354,2.3309,98700
-122.21,37.77,43,3.671480144,1.184115523,3.018050542,277,2.2604,100000
-122.19,37.77,42,3.543726236,0.965779468,3.422053232,263,1.8039,92300
-122.2,37.77,39,5.00744879,1.111731844,3.515828678,537,2.2562,94800
-122.2,37.77,41,4.536656891,1.217008798,3.002932551,341,2.0562,102000
-122.2,37.78,52,5.437352246,1.047281324,2.895981087,423,3.5398,158400
-122.2,37.78,39,4.659574468,1.061170213,2.848404255,376,3.1167,121600
-122.2,37.78,50,4.939153439,1.066137566,2.984126984,378,2.5401,129100
-122.2,37.77,43,5.020661157,1.037190083,3.175619835,484,2.898,121400
-122.21,37.78,44,4.399491094,1.053435115,3.155216285,393,2.3125,102800
-122.19,37.78,52,6.107142857,1.071428571,2.791666667,168,2.875,160000
-122.19,37.77,52,5.105882353,1.007058824,2.555294118,425,3.3715,143900
-122.19,37.77,52,5.585131894,1.067146283,2.743405276,417,3.5114,151200
-122.19,37.78,52,6.645333333,1.106666667,2.957333333,375,4.3125,164400
-122.19,37.78,52,5.956639566,1.075880759,2.666666667,369,3.22,156500
-122.18,37.78,33,3.021276596,0.659574468,12.23404255,47,3.875,225000
-122.19,37.78,49,5.660287081,0.980861244,2.373205742,209,5.2328,174200
-122.19,37.78,52,5.631578947,1.015789474,2.921052632,190,3.7262,166900
-122.2,37.78,45,5.400611621,1.01529052,2.657492355,327,4.5893,163500
-122.18,37.79,39,5.820754717,0.896226415,2.226415094,106,5.2578,253000
-122.18,37.79,41,6.593457944,1.088785047,2.925233645,214,7.0875,240700
-122.18,37.79,46,6.410334347,1.176291793,2.802431611,329,3.9712,208100
-122.19,37.79,47,4.80078125,0.94921875,2.2734375,256,2.9514,198100
-122.19,37.79,50,4.746268657,1.07960199,2.71641791,201,2.6667,172800
-122.18,37.81,37,6.176691729,0.984962406,2.330827068,266,5.4446,336700
-122.18,37.8,34,6.948717949,1,2.266666667,195,6.2838,318200
-122.18,37.8,23,7.06402439,1.024390244,2.911585366,328,6.7527,285800
-122.13,37.77,24,7.589506173,0.978395062,2.827160494,324,7.0712,293000
-122.16,37.79,22,6.528723945,1.041179461,2.534316218,1967,5.9849,371000
-122.17,37.78,42,5.707865169,0.973782772,2.438202247,267,3.6875,157300
-122.17,37.77,30,4.731152205,1.06116643,2.423897582,703,2.875,135300
-122.18,37.78,43,4.877149877,1.081081081,2.665847666,407,3.4205,136700
-122.18,37.78,50,5.781690141,1.133802817,2.51056338,284,3.2984,160700
-122.17,37.78,49,4.933701657,0.977900552,2.585635359,181,3.875,140600
-122.17,37.78,52,5.396694215,1.05785124,2.446280992,121,4.175,144000
-122.16,37.77,47,5.76146789,0,2.614678899,218,4.375,161900
-122.16,37.77,48,5.427777778,1.077777778,2.477777778,180,4.7708,156300
-122.16,37.77,45,6.052083333,1.033854167,2.520833333,384,3.5739,176000
-122.16,37.77,39,5.009493671,1.10443038,2.712025316,316,3.0958,145800
-122.17,37.77,39,5.00621118,1.062111801,2.832298137,322,3.3958,141900
-122.17,37.77,31,5.362831858,1.17920354,3.008849558,452,1.871,90700
-122.17,37.76,41,4.490140845,1.033802817,3.025352113,355,1.9356,90600
-122.17,37.76,47,5.544502618,1.081151832,2.52617801,382,2.1842,107900
-122.18,37.76,37,4.921875,1.11875,2.915625,320,2.2917,107000
-122.17,37.76,38,4.983050847,1.121468927,2.788135593,354,2.4333,98200
-122.18,37.76,50,4.825203252,1.06097561,3.68699187,246,1.9479,89500
-122.18,37.76,52,4.56969697,1.060606061,2.709090909,165,3.9063,93800
-122.18,37.76,49,5.11751663,1.002217295,2.880266075,451,1.8407,96700
-122.18,37.77,27,5.789808917,1.503184713,2.522292994,157,2.0786,97500
-122.18,37.77,42,4.402985075,0.958955224,3.27238806,268,2.8125,97300
-122.18,37.76,43,5.498637602,1.111716621,3.027247956,367,1.8913,91200
-122.19,37.76,49,5.085501859,1.048327138,2.936802974,269,1.7056,91400
-122.18,37.77,52,4.953068592,0.987364621,2.66967509,554,2.2768,96200
-122.18,37.77,51,4.810502283,1.075342466,2.678082192,438,3.2552,120100
-122.18,37.77,52,4.775956284,0.989071038,2.81147541,366,2.0556,100000
-122.19,37.76,52,5.782857143,1.117142857,2.942857143,350,2.4659,94700
-122.2,37.76,47,4,0.928315412,2.960573477,279,1.75,85700
-122.19,37.77,41,4.484581498,1.123348018,3.110132159,454,2.0469,89300
-122.19,37.77,45,5.306590258,1.126074499,3.243553009,349,2.7159,101400
-122.19,37.76,41,5.79245283,1.301886792,3.283018868,159,1.2083,72500
-122.19,37.76,45,4.198312236,1.004219409,2.658227848,237,1.925,74100
-122.2,37.75,36,4.556390977,0.992481203,3.992481203,133,1.5809,70000
-122.2,37.76,37,4.017991004,1.103448276,2.886056972,667,1.4097,84600
-122.19,37.76,38,4.253561254,1.054131054,3.259259259,351,0.7683,81800
-122.19,37.75,19,4.244230769,1.086538462,2.848076923,520,1.3194,81400
-122.19,37.75,28,5.283950617,1.166666667,2.685185185,162,0.8012,81800
-122.19,37.76,26,4.267326733,0.98019802,3.247524752,303,1.9479,85800
-122.19,37.74,36,5.327044025,1.333333333,3.566037736,159,1.1765,87100
-122.18,37.74,42,4.398373984,1.25203252,3.089430894,123,2.3456,83500
-122.19,37.73,44,4.368852459,1.036885246,3.381147541,244,2.1538,79700
-122.19,37.74,43,4.561290323,0.948387097,2.690322581,155,2.5139,83400
-122.19,37.73,45,5.324041812,1.013937282,2.790940767,287,1.2625,84700
-122.18,37.73,42,4.590909091,1.085858586,3.262626263,198,2.9063,80000
-122.18,37.73,43,4.880701754,1.028070175,3,285,2.5192,76400
-122.18,37.73,44,4.029411765,0.875,3.198529412,136,2.1111,79700
-122.18,37.73,42,5.223076923,1.120512821,3.507692308,780,2.455,82400
-122.17,37.74,41,3.896135266,1.074879227,3.577294686,414,2.4028,97700
-122.17,37.74,47,3.379562044,0.97810219,2.386861314,137,2.15,97200
-122.17,37.74,43,4.569832402,1.078212291,2.759776536,179,2.4776,101600
-122.17,37.73,43,4.319648094,1.08797654,3.609970674,341,2.1587,86500
-122.18,37.74,35,4.623853211,1.155963303,2.963302752,109,1.8438,90500
-122.17,37.74,46,4.56,1.004444444,3.328888889,225,3.0298,107600
-122.17,37.74,46,4.320224719,1.028089888,3.893258427,178,2.25,84200
-122.18,37.74,46,5.940677966,1.104519774,3.782485876,354,2.2467,88900
-122.18,37.75,45,4.125,0.95,3.525,80,4.0469,80700
-122.18,37.75,46,4.825641026,1.117948718,3.184615385,195,1.325,87100
-122.17,37.75,38,3.83011583,0,2.826254826,259,1.6196,85100
-122.18,37.75,45,3.807692308,1.003846154,3.465384615,260,2.1731,82000
-122.19,37.75,36,7.506666667,1.753333333,3.213333333,150,1.9167,82800
-122.18,37.75,43,4.863849765,1.093896714,3.061032864,213,2.069,84600
-122.18,37.75,36,6.307228916,1.289156627,3.921686747,166,1.712,82100
-122.17,37.76,33,4.475524476,1.073426573,3.493006993,286,2.5625,89300
-122.17,37.75,43,5.18627451,1.045751634,2.964052288,306,1.9821,98300
-122.17,37.75,41,5.465217391,1.17826087,3.6,230,2.5043,92300
-122.17,37.75,44,4.795275591,0.976377953,3.003937008,254,2.3281,88800
-122.17,37.75,48,5.017191977,1.11747851,2.679083095,349,1.4375,90000
-122.16,37.76,45,4.75,1.061983471,2.969008264,484,2.5122,95500
-122.16,37.75,38,5.097510373,1.294605809,3.145228216,482,1.5625,91700
-122.17,37.75,47,5.394594595,1.140540541,3.227027027,185,3.1587,100400
-122.17,37.76,40,4.926900585,1.002923977,2.774853801,342,1.8426,94800
-122.16,37.76,46,6.049668874,1.016556291,2.917218543,302,4.6696,164300
-122.16,37.76,36,5.358381503,1.105973025,2.770712909,519,2.4598,155500
-122.15,37.76,39,6.751851852,1.059259259,2.825925926,270,6.0749,196900
-122.14,37.77,27,6.278873239,1.028169014,3.653521127,355,4.8304,279100
-122.14,37.76,34,7.170616114,1.09478673,2.582938389,211,5.5701,252800
-122.13,37.76,26,6.127579737,0.92120075,2.292682927,533,5.37,275400
